symbol,datetrade,dateexpiration,contractsize,initmargin
GC=F,2009-06,2009-06-16,510,15327.22091217893
GC=F,2009-07,2009-07-16,506,15330.046450928756
GC=F,2009-08,2009-08-18,508,15327.707754285631
GC=F,2009-09,2009-09-16,505,15329.46940023997
GC=F,2009-10,2009-10-16,505,15328.505845250413
GC=F,2009-11,2009-11-17,510,15329.264600094184
GC=F,2009-12,2009-12-16,508,15328.589560105584
GC=F,2010-01,2010-01-19,510,15330.29916642737
GC=F,2010-02,2010-02-16,510,15329.793369021227
GC=F,2010-03,2010-03-16,505,15327.592822395476
GC=F,2010-04,2010-04-16,508,15330.926321809071
GC=F,2010-05,2010-05-18,507,15329.040030277241
GC=F,2010-06,2010-06-16,510,15329.310593812046
GC=F,2010-07,2010-07-16,509,15329.8239467847
GC=F,2010-08,2010-08-17,506,15329.660019705554
GC=F,2010-09,2010-09-16,508,15329.93448847844
GC=F,2010-10,2010-10-16,507,15330.585291045041
GC=F,2010-11,2010-11-16,509,15331.42375098013
GC=F,2010-12,2010-12-16,506,15330.44099809854
GC=F,2011-01,2011-01-18,510,15330.66241931408
GC=F,2011-02,2011-02-16,510,15328.076065011983
GC=F,2011-03,2011-03-16,510,15330.250333747164
GC=F,2011-04,2011-04-16,507,15330.791251596178
GC=F,2011-05,2011-05-17,509,15327.797884326013
GC=F,2011-06,2011-06-16,510,15327.22719895011
GC=F,2011-07,2011-07-16,509,15327.83752680563
GC=F,2011-08,2011-08-16,509,15330.54085876916
GC=F,2011-09,2011-09-16,507,15330.737519041519
GC=F,2011-10,2011-10-18,509,15330.646986603897
GC=F,2011-11,2011-11-16,505,15329.549335350526
GC=F,2011-12,2011-12-16,510,15330.01079023694
GC=F,2012-01,2012-01-18,505,15330.647431772399
GC=F,2012-02,2012-02-16,510,15331.248032282427
GC=F,2012-03,2012-03-16,506,15328.455395700767
GC=F,2012-04,2012-04-17,507,15326.495743164864
GC=F,2012-05,2012-05-16,509,15329.143693624412
GC=F,2012-06,2012-06-16,510,15328.861811055793
GC=F,2012-07,2012-07-17,505,15330.578478612815
GC=F,2012-08,2012-08-16,509,15331.017864465362
GC=F,2012-09,2012-09-19,510,15326.580451517939
GC=F,2012-10,2012-10-16,506,15328.472367346541
GC=F,2012-11,2012-11-16,507,15328.92493588033
GC=F,2012-12,2012-12-18,510,15329.891651246462
GC=F,2013-01,2013-01-17,508,15330.74281220626
GC=F,2013-02,2013-02-16,509,15326.866969507706
GC=F,2013-03,2013-03-16,507,15331.10882576672
GC=F,2013-04,2013-04-16,507,15330.96571673665
GC=F,2013-05,2013-05-16,506,15329.823341865855
GC=F,2013-06,2013-06-18,506,15330.724948102104
GC=F,2013-07,2013-07-16,506,15330.7442526045
GC=F,2013-08,2013-08-16,509,15330.120807778363
GC=F,2013-09,2013-09-18,510,15328.973184732726
GC=F,2013-10,2013-10-16,508,15329.129550254345
GC=F,2013-11,2013-11-16,510,15330.466376885292
GC=F,2013-12,2013-12-17,508,15326.9273723762
GC=F,2014-01,2014-01-17,510,15328.99721802509
GC=F,2014-02,2014-02-18,505,15329.329377111553
GC=F,2014-03,2014-03-18,510,15327.168338647116
GC=F,2014-04,2014-04-16,510,15329.17310249595
GC=F,2014-05,2014-05-16,508,15326.516524751101
GC=F,2014-06,2014-06-17,509,15327.039429512084
GC=F,2014-07,2014-07-16,507,15328.713582601888
GC=F,2014-08,2014-08-16,507,15329.95528572282
GC=F,2014-09,2014-09-17,508,15328.173404619754
GC=F,2014-10,2014-10-16,510,15327.837687335474
GC=F,2014-11,2014-11-18,510,15326.586052910634
GC=F,2014-12,2014-12-16,509,15331.354677929936
GC=F,2015-01,2015-01-17,506,15328.90201710181
GC=F,2015-02,2015-02-17,508,15327.146325530335
GC=F,2015-03,2015-03-17,508,15328.466813847626
GC=F,2015-04,2015-04-16,505,15328.477557000078
GC=F,2015-05,2015-05-16,506,15330.446207289226
GC=F,2015-06,2015-06-16,509,15326.56054838007
GC=F,2015-07,2015-07-16,509,15328.755115660926
GC=F,2015-08,2015-08-18,509,15327.428658551209
GC=F,2015-09,2015-09-16,505,15330.640661890004
GC=F,2015-10,2015-10-16,505,15326.713046391145
GC=F,2015-11,2015-11-17,506,15331.092556675718
GC=F,2015-12,2015-12-16,506,15328.520998379709
GC=F,2016-01,2016-01-19,506,15329.674940738047
GC=F,2016-02,2016-02-16,510,15329.043095581688
GC=F,2016-03,2016-03-16,510,15330.603939930264
GC=F,2016-04,2016-04-16,506,15329.546856394616
GC=F,2016-05,2016-05-17,510,15330.219488454259
GC=F,2016-06,2016-06-16,509,15330.938745056434
GC=F,2016-07,2016-07-16,506,15328.481226100419
GC=F,2016-08,2016-08-16,506,15331.000551440246
GC=F,2016-09,2016-09-16,505,15331.218621068789
GC=F,2016-10,2016-10-18,509,15328.546603678064
GC=F,2016-11,2016-11-16,507,15327.425707009095
GC=F,2016-12,2016-12-16,506,15327.555211184264
GC=F,2017-01,2017-01-18,509,15328.197391581076
GC=F,2017-02,2017-02-16,508,15327.874993485884
GC=F,2017-03,2017-03-16,507,15331.160565381288
GC=F,2017-04,2017-04-18,507,15330.807006413559
GC=F,2017-05,2017-05-16,509,15331.135541208767
GC=F,2017-06,2017-06-16,510,15330.887356787991
GC=F,2017-07,2017-07-18,506,15327.918954084713
GC=F,2017-08,2017-08-16,508,15330.901057522811
GC=F,2017-09,2017-09-16,510,15329.03451140358
GC=F,2017-10,2017-10-17,510,15328.39285409508
GC=F,2017-11,2017-11-16,507,15327.358723919911
GC=F,2017-12,2017-12-16,509,15330.02685428891
GC=F,2018-01,2018-01-17,510,15326.628822006738
GC=F,2018-02,2018-02-16,509,15328.69075851604
GC=F,2018-03,2018-03-16,505,15329.956710013266
GC=F,2018-04,2018-04-17,507,15330.773484770792
GC=F,2018-05,2018-05-16,509,15328.288420290955
GC=F,2018-06,2018-06-16,509,15331.111049057992
GC=F,2018-07,2018-07-17,510,15328.362681534982
GC=F,2018-08,2018-08-16,507,15328.323752617433
GC=F,2018-09,2018-09-19,506,15330.376686234953
GC=F,2018-10,2018-10-16,509,15328.582760459176
GC=F,2018-11,2018-11-16,505,15327.067908122332
GC=F,2018-12,2018-12-18,506,15327.823810818778
GC=F,2019-01,2019-01-17,505,15328.28788828821
GC=F,2019-02,2019-02-16,509,15331.37152614064
GC=F,2019-03,2019-03-16,510,15328.58512945373
GC=F,2019-04,2019-04-16,505,15328.643119753533
GC=F,2019-05,2019-05-16,505,15328.185887691168
GC=F,2019-06,2019-06-18,508,15330.022355765055
GC=F,2019-07,2019-07-16,509,15327.731342581726
GC=F,2019-08,2019-08-16,510,15330.594147498621
GC=F,2019-09,2019-09-18,507,15328.4870832722
GC=F,2019-10,2019-10-16,510,15330.947190805144
GC=F,2019-11,2019-11-16,505,15326.683473301478
GC=F,2019-12,2019-12-17,508,15330.644655840972
GC=F,2020-01,2020-01-17,506,15328.269060099281
GC=F,2020-02,2020-02-18,505,15330.900049827635
GC=F,2020-03,2020-03-17,505,15327.3988644267
GC=F,2020-04,2020-04-16,508,15327.99035943755
GC=F,2020-05,2020-05-16,505,15329.761044197447
GC=F,2020-06,2020-06-16,507,15328.736285521622
GC=F,2020-07,2020-07-16,509,15329.557399349947
GC=F,2020-08,2020-08-18,510,15330.346154605006
GC=F,2020-09,2020-09-16,510,15327.406043385397
GC=F,2020-10,2020-10-16,506,15330.221816227975
GC=F,2020-11,2020-11-17,510,15331.362091671
GC=F,2020-12,2020-12-16,506,15329.172982205573
GC=F,2021-01,2021-01-19,510,15329.940015376209
GC=F,2021-02,2021-02-16,507,15330.200725978368
GC=F,2021-03,2021-03-16,506,15330.63833023245
GC=F,2021-04,2021-04-16,509,15329.66670493735
GC=F,2021-05,2021-05-18,505,15326.899537904364
GC=F,2021-06,2021-06-16,505,15328.188549664674
GC=F,2021-07,2021-07-16,505,15327.799461131952
GC=F,2021-08,2021-08-17,508,15326.925416041508
GC=F,2021-09,2021-09-16,510,15330.956933406302
GC=F,2021-10,2021-10-16,507,15328.598590763613
GC=F,2021-11,2021-11-16,508,15329.893232877312
GC=F,2021-12,2021-12-16,505,15327.03778373272
GC=F,2022-01,2022-01-18,510,15327.118618136787
GC=F,2022-02,2022-02-16,506,15329.072889163097
GC=F,2022-03,2022-03-16,505,15329.322496227844
GC=F,2022-04,2022-04-16,509,15328.254312478986
GC=F,2022-05,2022-05-17,505,15330.099973425733
GC=F,2022-06,2022-06-16,508,15331.204283688063
GC=F,2022-07,2022-07-16,505,15328.69950849735
GC=F,2022-08,2022-08-16,510,15328.099534602825
GC=F,2022-09,2022-09-16,510,15329.679227573944
GC=F,2022-10,2022-10-18,506,15329.435699210857
GC=F,2022-11,2022-11-16,506,15330.266305261626
GC=F,2022-12,2022-12-16,510,15328.986157091982
GC=F,2023-01,2023-01-18,508,15328.379500322935
GC=F,2023-02,2023-02-16,508,15328.77562804703
GC=F,2023-03,2023-03-16,507,15326.616972269845
GC=F,2023-04,2023-04-18,508,15330.543291517262
GC=F,2023-05,2023-05-16,506,15326.45334964491
GC=F,2023-06,2023-06-16,509,15330.61820272993
GC=F,2023-07,2023-07-18,509,15329.208247343318
GC=F,2023-08,2023-08-16,507,15328.648128658948
GC=F,2023-09,2023-09-16,507,15330.110756341768
GC=F,2023-10,2023-10-17,510,15326.914715845674
GC=F,2023-11,2023-11-16,509,15327.024671725052
GC=F,2023-12,2023-12-16,508,15328.54050475331
GC=F,2024-01,2024-01-17,509,15331.015061962982
GC=F,2024-02,2024-02-16,505,15328.054594964558
SI=F,2000-08,2000-09-14,108,5163.664385008655
SI=F,2000-09,2000-09-16,107,5165.9952841637505
SI=F,2000-10,2000-10-17,107,5162.615896690918
SI=F,2000-11,2000-11-16,108,5164.109342969994
SI=F,2000-12,2000-12-16,110,5166.1368099951005
SI=F,2001-01,2001-01-17,109,5162.370763675123
SI=F,2001-02,2001-02-16,108,5162.3968083789005
SI=F,2001-03,2001-03-16,110,5161.411094646172
SI=F,2001-04,2001-04-17,110,5166.071219959139
SI=F,2001-05,2001-05-16,105,5163.110613937262
SI=F,2001-06,2001-06-16,107,5162.496718944102
SI=F,2001-07,2001-07-17,110,5165.916919137265
SI=F,2001-08,2001-08-16,106,5162.090218924728
SI=F,2001-09,2001-09-19,107,5162.5249662281085
SI=F,2001-10,2001-10-16,108,5165.723103519343
SI=F,2001-11,2001-11-16,106,5164.695393394188
SI=F,2001-12,2001-12-18,105,5163.617655249398
SI=F,2002-01,2002-01-17,106,5162.610532617364
SI=F,2002-02,2002-02-16,108,5164.622936574405
SI=F,2002-03,2002-03-16,108,5163.993613438429
SI=F,2002-04,2002-04-16,105,5163.74651687999
SI=F,2002-05,2002-05-16,108,5164.264222686825
SI=F,2002-06,2002-06-18,107,5162.632017432026
SI=F,2002-07,2002-07-16,110,5162.057281656762
SI=F,2002-08,2002-08-16,105,5161.2882487194665
SI=F,2002-09,2002-09-18,105,5165.080571517792
SI=F,2002-10,2002-10-16,106,5164.547876033929
SI=F,2002-11,2002-11-16,109,5162.58763967805
SI=F,2002-12,2002-12-17,109,5161.7352169570595
SI=F,2003-01,2003-01-17,110,5164.903287453847
SI=F,2003-02,2003-02-18,106,5165.226291222191
SI=F,2003-03,2003-03-18,107,5164.329388705384
SI=F,2003-04,2003-04-16,107,5162.280446229796
SI=F,2003-05,2003-05-16,106,5162.466393921388
SI=F,2003-06,2003-06-17,107,5163.878125903442
SI=F,2003-07,2003-07-16,106,5164.703687945693
SI=F,2003-08,2003-08-16,107,5163.898000078937
SI=F,2003-09,2003-09-17,110,5165.488910390469
SI=F,2003-10,2003-10-16,107,5163.651051003254
SI=F,2003-11,2003-11-18,108,5163.965707642282
SI=F,2003-12,2003-12-16,109,5164.555454793554
SI=F,2004-01,2004-01-20,108,5164.314484405572
SI=F,2004-02,2004-02-17,110,5161.716516645142
SI=F,2004-03,2004-03-16,109,5165.438654465058
SI=F,2004-04,2004-04-16,108,5163.476465781751
SI=F,2004-05,2004-05-18,108,5161.233813805072
SI=F,2004-06,2004-06-16,105,5162.598037537669
SI=F,2004-07,2004-07-16,109,5164.762424345914
SI=F,2004-08,2004-08-17,110,5164.0877140422945
SI=F,2004-09,2004-09-16,109,5164.1934543285915
SI=F,2004-10,2004-10-16,107,5163.112883721505
SI=F,2004-11,2004-11-16,106,5163.013792348379
SI=F,2004-12,2004-12-16,109,5161.885173297648
SI=F,2005-01,2005-01-18,105,5162.191859527487
SI=F,2005-02,2005-02-16,110,5162.974353194844
SI=F,2005-03,2005-03-16,105,5165.315405767583
SI=F,2005-04,2005-04-16,110,5161.796588010846
SI=F,2005-05,2005-05-17,109,5163.02128022088
SI=F,2005-06,2005-06-16,107,5162.556898999906
SI=F,2005-07,2005-07-16,105,5162.730366671742
SI=F,2005-08,2005-08-16,109,5165.785747399388
SI=F,2005-09,2005-09-16,109,5163.581493365204
SI=F,2005-10,2005-10-18,105,5164.968583319338
SI=F,2005-11,2005-11-16,108,5161.832290026423
SI=F,2005-12,2005-12-16,108,5165.393369038318
SI=F,2006-01,2006-01-18,107,5163.381798679522
SI=F,2006-02,2006-02-16,108,5161.774459904145
SI=F,2006-03,2006-03-16,105,5163.166145373757
SI=F,2006-04,2006-04-18,107,5163.593901279896
SI=F,2006-05,2006-05-16,105,5165.9211682248715
SI=F,2006-06,2006-06-16,110,5162.342740142079
SI=F,2006-07,2006-07-18,105,5163.964413295098
SI=F,2006-08,2006-08-16,109,5161.934010178158
SI=F,2006-09,2006-09-16,107,5165.333385862098
SI=F,2006-10,2006-10-17,109,5165.734543745494
SI=F,2006-11,2006-11-16,108,5163.161695916906
SI=F,2006-12,2006-12-16,109,5161.343018572058
SI=F,2007-01,2007-01-17,110,5165.41577010306
SI=F,2007-02,2007-02-16,106,5165.697043538209
SI=F,2007-03,2007-03-16,109,5165.631623135267
SI=F,2007-04,2007-04-17,109,5162.842288512636
SI=F,2007-05,2007-05-16,110,5164.943624749087
SI=F,2007-06,2007-06-16,106,5164.622074649473
SI=F,2007-07,2007-07-17,107,5162.79724903824
SI=F,2007-08,2007-08-16,110,5162.244191821836
SI=F,2007-09,2007-09-19,105,5161.670602468086
SI=F,2007-10,2007-10-16,108,5162.6878524608
SI=F,2007-11,2007-11-16,110,5161.413759026923
SI=F,2007-12,2007-12-18,105,5164.195702055645
SI=F,2008-01,2008-01-17,110,5164.19434326282
SI=F,2008-02,2008-02-16,105,5163.831164714307
SI=F,2008-03,2008-03-18,107,5165.946599681456
SI=F,2008-04,2008-04-16,110,5162.67973537936
SI=F,2008-05,2008-05-16,110,5161.799498147621
SI=F,2008-06,2008-06-17,105,5164.423044514594
SI=F,2008-07,2008-07-16,107,5161.791891429967
SI=F,2008-08,2008-08-16,109,5162.55681307879
SI=F,2008-09,2008-09-17,109,5163.7025929541105
SI=F,2008-10,2008-10-16,109,5161.697353378408
SI=F,2008-11,2008-11-18,110,5164.757052832657
SI=F,2008-12,2008-12-16,108,5162.966229766642
SI=F,2009-01,2009-01-17,107,5162.537823290485
SI=F,2009-02,2009-02-17,105,5162.27042716306
SI=F,2009-03,2009-03-17,108,5166.127969644449
SI=F,2009-04,2009-04-16,109,5165.040258871207
SI=F,2009-05,2009-05-16,108,5161.87107078906
SI=F,2009-06,2009-06-16,108,5163.1974590146865
SI=F,2009-07,2009-07-16,105,5164.14556658456
SI=F,2009-08,2009-08-18,107,5163.276273888643
SI=F,2009-09,2009-09-16,110,5163.1858512823055
SI=F,2009-10,2009-10-16,105,5166.203948082075
SI=F,2009-11,2009-11-17,110,5165.443276848273
SI=F,2009-12,2009-12-16,110,5164.452139138293
SI=F,2010-01,2010-01-19,107,5162.981015123297
SI=F,2010-02,2010-02-16,109,5163.515586071053
SI=F,2010-03,2010-03-16,105,5163.620962871763
SI=F,2010-04,2010-04-16,105,5164.080175708088
SI=F,2010-05,2010-05-18,108,5163.493290627125
SI=F,2010-06,2010-06-16,109,5165.53547572322
SI=F,2010-07,2010-07-16,105,5163.932048141902
SI=F,2010-08,2010-08-17,110,5166.202581815533
SI=F,2010-09,2010-09-16,108,5165.63861936885
SI=F,2010-10,2010-10-16,105,5164.043379684286
SI=F,2010-11,2010-11-16,107,5162.534214419383
SI=F,2010-12,2010-12-16,110,5165.012503970178
SI=F,2011-01,2011-01-18,105,5163.568622476037
SI=F,2011-02,2011-02-16,106,5164.092075276373
SI=F,2011-03,2011-03-16,108,5163.316344780541
SI=F,2011-04,2011-04-16,107,5161.330293264421
SI=F,2011-05,2011-05-17,107,5163.999702522441
SI=F,2011-06,2011-06-16,106,5161.261826205707
SI=F,2011-07,2011-07-16,107,5163.4581289783155
SI=F,2011-08,2011-08-16,110,5166.08410197652
SI=F,2011-09,2011-09-16,105,5162.89836343623
SI=F,2011-10,2011-10-18,110,5162.897986109193
SI=F,2011-11,2011-11-16,107,5165.791029746383
SI=F,2011-12,2011-12-16,105,5163.228381015892
SI=F,2012-01,2012-01-18,110,5161.958020742526
SI=F,2012-02,2012-02-16,107,5162.310460781604
SI=F,2012-03,2012-03-16,105,5164.288968966327
SI=F,2012-04,2012-04-17,106,5165.4212576962
SI=F,2012-05,2012-05-16,106,5166.148387667205
SI=F,2012-06,2012-06-16,106,5162.182502911405
SI=F,2012-07,2012-07-17,105,5161.480157051671
SI=F,2012-08,2012-08-16,105,5166.084495924993
SI=F,2012-09,2012-09-19,105,5164.423980627253
SI=F,2012-10,2012-10-16,109,5162.238726697518
SI=F,2012-11,2012-11-16,105,5165.434320323454
SI=F,2012-12,2012-12-18,107,5164.14303467451
SI=F,2013-01,2013-01-17,107,5163.9957673799045
SI=F,2013-02,2013-02-16,106,5161.474482467035
SI=F,2013-03,2013-03-16,105,5165.297380499191
SI=F,2013-04,2013-04-16,108,5162.635557405699
SI=F,2013-05,2013-05-16,106,5162.3479259406895
SI=F,2013-06,2013-06-18,107,5163.669375594387
SI=F,2013-07,2013-07-16,109,5162.336037660194
SI=F,2013-08,2013-08-16,108,5163.227138401673
SI=F,2013-09,2013-09-18,105,5166.063423849072
SI=F,2013-10,2013-10-16,108,5164.696888036458
SI=F,2013-11,2013-11-16,108,5162.008335219733
SI=F,2013-12,2013-12-17,107,5162.668919545435
SI=F,2014-01,2014-01-17,110,5164.023316109454
SI=F,2014-02,2014-02-18,107,5161.605423613588
SI=F,2014-03,2014-03-18,109,5164.75182748869
SI=F,2014-04,2014-04-16,105,5164.373782840054
SI=F,2014-05,2014-05-16,110,5165.2655903254645
SI=F,2014-06,2014-06-17,106,5162.504567564438
SI=F,2014-07,2014-07-16,107,5161.503801904974
SI=F,2014-08,2014-08-16,109,5164.993210641712
SI=F,2014-09,2014-09-17,107,5162.460266715686
SI=F,2014-10,2014-10-16,105,5164.00063965756
SI=F,2014-11,2014-11-18,108,5162.905419408237
SI=F,2014-12,2014-12-16,109,5166.1119860761155
SI=F,2015-01,2015-01-17,110,5164.205299167354
SI=F,2015-02,2015-02-17,105,5165.008835350289
SI=F,2015-03,2015-03-17,106,5163.126630131663
SI=F,2015-04,2015-04-16,110,5162.143160203724
SI=F,2015-05,2015-05-16,106,5164.762444122234
SI=F,2015-06,2015-06-16,106,5164.373138695058
SI=F,2015-07,2015-07-16,106,5165.062526590443
SI=F,2015-08,2015-08-18,108,5161.38367962123
SI=F,2015-09,2015-09-16,109,5161.645723931166
SI=F,2015-10,2015-10-16,108,5163.08322219862
SI=F,2015-11,2015-11-17,109,5163.140799774218
SI=F,2015-12,2015-12-16,105,5162.9019334467885
SI=F,2016-01,2016-01-19,108,5164.083756783141
SI=F,2016-02,2016-02-16,108,5165.646838120559
SI=F,2016-03,2016-03-16,108,5163.883977534827
SI=F,2016-04,2016-04-16,105,5165.10735796116
SI=F,2016-05,2016-05-17,109,5161.957400676346
SI=F,2016-06,2016-06-16,110,5165.410492600308
SI=F,2016-07,2016-07-16,109,5165.177424928946
SI=F,2016-08,2016-08-16,108,5161.605774649259
SI=F,2016-09,2016-09-16,105,5165.203422443519
SI=F,2016-10,2016-10-18,108,5165.162294410797
SI=F,2016-11,2016-11-16,109,5163.22263665587
SI=F,2016-12,2016-12-16,110,5161.382565957958
SI=F,2017-01,2017-01-18,108,5161.6393884938
SI=F,2017-02,2017-02-16,110,5162.149657118515
SI=F,2017-03,2017-03-16,107,5162.2642582575745
SI=F,2017-04,2017-04-18,107,5163.509483728658
SI=F,2017-05,2017-05-16,108,5162.535996712506
SI=F,2017-06,2017-06-16,107,5164.770884680879
SI=F,2017-07,2017-07-18,110,5161.897973952233
SI=F,2017-08,2017-08-16,108,5162.377580209377
SI=F,2017-09,2017-09-16,109,5165.3833290686525
SI=F,2017-10,2017-10-17,110,5163.460985182625
SI=F,2017-11,2017-11-16,105,5162.725185530971
SI=F,2017-12,2017-12-16,110,5164.907300214445
SI=F,2018-01,2018-01-17,109,5164.900192143324
SI=F,2018-02,2018-02-16,110,5162.725035543331
SI=F,2018-03,2018-03-16,106,5164.264376560666
SI=F,2018-04,2018-04-17,105,5161.690642026775
SI=F,2018-05,2018-05-16,108,5161.371678421877
SI=F,2018-06,2018-06-16,110,5164.974574907263
SI=F,2018-07,2018-07-17,105,5161.502283296009
SI=F,2018-08,2018-08-16,110,5163.423558918034
SI=F,2018-09,2018-09-19,108,5164.469412023992
SI=F,2018-10,2018-10-16,106,5161.792043099634
SI=F,2018-11,2018-11-16,108,5161.235162435349
SI=F,2018-12,2018-12-18,105,5163.912737930769
SI=F,2019-01,2019-01-17,108,5162.784452826024
SI=F,2019-02,2019-02-16,109,5162.963321444383
SI=F,2019-03,2019-03-16,110,5162.752522442071
SI=F,2019-04,2019-04-16,110,5165.275831932397
SI=F,2019-05,2019-05-16,106,5162.59271165098
SI=F,2019-06,2019-06-18,105,5165.476236688667
SI=F,2019-07,2019-07-16,108,5165.731786725312
SI=F,2019-08,2019-08-16,110,5165.235564743226
SI=F,2019-09,2019-09-18,105,5162.330130072285
SI=F,2019-10,2019-10-16,108,5161.923695568803
SI=F,2019-11,2019-11-16,110,5161.984971143845
SI=F,2019-12,2019-12-17,106,5165.620998212969
